대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
전기설비,전기공사업,1,한전케이피에스(주),김홍연,전라남도 나주시 문화로,경기-00093,3612489116000,,,,,,
전기설비,전기공사업,2,삼성물산 주식회사,오세철 외2명,서울특별시 강동구 상일로6길,서울-00649,2057734324000,,,,,,
전기설비,전기공사업,3,주식회사 수산인더스트리,정보윤 외1명,충청남도 천안시 서북구 천일고3길,경기-01555,1105423443000,,,,,,
전기설비,전기공사업,4,현대건설(주),이한우,서울특별시 종로구 율곡로,서울-00053,1005011058000,,,,,,
전기설비,전기공사업,5,주식회사 창원기전,김귀범 외1명,경기도 성남시 분당구 야탑로81번길,경기-01730,926919024000,,,,,,
전기설비,전기공사업,6,(주)신보,유정섭 외2명,서울특별시 마포구 백범로,서울-00066,815549086000,,,,,,
전기설비,전기공사업,7,(주)금화피에스시,김경태 외1명,서울특별시 강남구 테헤란로25길,서울-00395,812532604000,,,,,,
전기설비,전기공사업,8,(주)삼영기업,금동흠 외1명,서울특별시 서초구 강남대로79길,서울-00264,757376248000,,,,,,
전기설비,전기공사업,9,세안이엔씨(주),이은상,서울특별시 강남구 테헤란로88길,서울-00197,735283357000,,,,,,
전기설비,전기공사업,10,한국플랜트서비스(주),강기석,서울특별시 영등포구 여의대로,경기-01577,582629844000,,,,,,
전기설비,전기공사업,11,"세종텔레콤 주식회사 (Sejong Telecom, Inc.)",이상철 외1명,경기도 과천시 과천대로7길,서울-00070,474447129000,,,,,,
전기설비,전기공사업,12,대명지이씨(주),김한욱 외1명,서울특별시 강남구 테헤란로2길,경기-00239,455265551000,,,,,,
전기설비,전기공사업,13,탑솔라 주식회사,유병진 외1명,전라남도 나주시 금성길,광주-00554,379379539000,,,,,,
전기설비,전기공사업,14,주식회사 일진파워,이광섭,울산광역시 울주군 온산읍 산암로,경기-01603,359211404000,,,,,,
전기설비,전기공사업,15,아이파크현대산업개발 주식회사,정경구,서울특별시 용산구 한강대로23길,서울-00130,355733661000,,,,,,
전기설비,전기공사업,16,"금양그린파워 주식회사(KUMYANG GREEN POWER CO.,Ltd.)",이윤철 외1명,울산광역시 남구 삼산로 257,울산-00008,353523865000,,,,,,
전기설비,전기공사업,17,(주)미동이엔씨,이우희 외2명,서울특별시 서초구 남부순환로,서울-00068,338940535000,,,,,,
전기설비,전기공사업,18,두원이에프씨(주),장병민 외3명,서울특별시 강남구 테헤란로4길,서울-00202,333494050000,,,,,,
전기설비,전기공사업,19,지에스건설(주),허윤홍 외1명,서울특별시 종로구 종로 33,서울-00115,302811604000,,,,,,
전기설비,전기공사업,20,(주)대우건설,김보현,서울특별시 중구 을지로,서울-00105,276180132000,,,,,,
전기설비,전기공사업,21,(주)삼진일렉스,김성관 외1명,서울특별시 강남구 학동로30길,서울-00420,264294651000,,,,,,
전기설비,전기공사업,22,대선이엔씨(주),최승재 외2명,서울특별시 서초구 사평대로22길,서울-00128,253726072000,,,,,,
전기설비,전기공사업,23,합자회사 동화,김연회,경기도 안양시 동안구 흥안대로,경기-00016,251099771000,,,,,,
전기설비,전기공사업,24,(주)반도건설,이정렬 외1명,서울특별시 강남구 테헤란로7길,부산-00061,240938082000,,,,,,
전기설비,전기공사업,25,롯데건설(주),오일근,서울특별시 서초구 잠원로14길,서울-00011,234898604000,,,,,,
전기설비,전기공사업,26,효진 주식회사,김인중 외1명,전라남도 담양군 수북면 포백길,광주-00074,227949237000,,,,,,
전기설비,전기공사업,27,한화솔루션 주식회사,남정운 외2명,서울특별시 중구 청계천로,서울-04793,225028630000,,,,,,
전기설비,전기공사업,28,두원이엔지 주식회사,권태욱 외1명,경기도 평택시 고덕면 문곡3길 54-21,충남-00967,221388667000,,,,,,
전기설비,전기공사업,29,"옵티멀에너지서비스 주식회사(OPTIMAL ENERGY SERVICE CO.,LTD)",이계성,서울특별시 영등포구 여의대로,경기-02442,217663612000,,,,,,
전기설비,전기공사업,30,효성중공업 주식회사,우태희,서울특별시 마포구 마포대로,서울-00122,215199451000,,,,,,
전기설비,전기공사업,31,(주)부현전기,김홍수,인천광역시 부평구  부평대로,서울-02124,211571045000,,,,,,
전기설비,전기공사업,32,종로전기(주),박동천 외1명,부산광역시 남구 못골번영로,부산-00016,200144484000,,,,,,
전기설비,전기공사업,33,(주)원프랜트,최창준,서울특별시 서초구 서초중앙로24길,서울-00597,189403989000,,,,,,
전기설비,전기공사업,34,주식회사 포스코이앤씨,송치영,경상북도 포항시 북구 중흥로,경북-00052,189106870000,,,,,,
전기설비,전기공사업,35,"에스케이에코플랜트 주식회사 (SK ecoplant Co., Ltd.)",김영식 외1명,서울특별시 종로구,서울-00063,184015512000,,,,,,
전기설비,전기공사업,36,대방건설(주),구찬우,경기도 고양시 일산동구 중앙로,경2 -00395,174068166000,,,,,,
전기설비,전기공사업,37,청암기업(주),강종규,제주특별자치도 제주시 노형로,제주-00001,169601173000,,,,,,
전기설비,전기공사업,38,(주)호반건설,박철희 외1명,서울특별시 서초구,광주-00298,167488353000,,,,,,
전기설비,전기공사업,39,종합전기(주),김유훈 외1명,서울특별시 동대문구 한천로14길,서울-00007,165736635000,,,,,,
전기설비,전기공사업,40,주식회사 엘지유플러스볼트업 (LG Uplus VoltUp Corp.),염상필,"서울특별시 강남구 테헤란로98길 11,",서울-06575,163877313000,,,,,,
전기설비,전기공사업,41,(주)서우건설산업,이자영 외1명,서울특별시 금천구 시흥대로63길,서울-00188,163334891000,,,,,,
전기설비,전기공사업,42,현대엔지니어링 주식회사,주우정,서울특별시 종로구 율곡로,서울-02650,156352779000,,,,,,
전기설비,전기공사업,43,우일계전공업(주),백노현 외1명,서울특별시 중랑구 신내로16길,경기-00200,151460095000,,,,,,
전기설비,전기공사업,44,"주식회사 에이치에너지(H Energy Co.,Ltd)",함일한,경상북도 포항시 남구 청암로,경북-01976,150616316000,,,,,,
전기설비,전기공사업,45,대호전기(주),최윤채 외1명,전라남도 영광군 백수읍 해안로,광주-00010,150369713000,,,,,,
전기설비,전기공사업,46,삼언전공(주),공석복 외1명,서울특별시 광진구 아차산로,서울-00353,150149048000,,,,,,
전기설비,전기공사업,47,제일건설(주),허만공 외1명,"광주광역시 동구 천변우로 339, 1805호(수기동,제일오피스텔)",전북-00118,149877174000,,,,,,
전기설비,전기공사업,48,(주)남양계전,민강기,서울특별시 서초구 방배로,서울-00030,143126300000,,,,,,
전기설비,전기공사업,49,우미건설(주),김영길 외2명,광주광역시 광산구 사암로,전남-00632,139813940000,,,,,,
전기설비,전기공사업,50,"엘에스마린솔루션 주식회사 (LS Marine Solution Co., Ltd.)",김병옥,부산광역시 동구 중앙대로,부산-00852,137146490000,,,,,,
전기설비,전기공사업,51,주식회사 한화,김우석 외2명,서울특별시 중구 청계천로 86(장교동),서울-05718,134101841000,,,,,,
전기설비,전기공사업,52,(주)통광,박용준,서울특별시 성북구 보문로,서울-00153,133702279000,,,,,,
전기설비,전기공사업,53,(주)경우이앤씨,이혁 외2명,경기도 하남시 덕풍로65번길,서울-00606,130437154000,,,,,,
전기설비,전기공사업,54,"두산에너빌리티 주식회사 (DOOSAN ENERBILITY CO. , LTD.)",정연인 외2명,경상남도 창원시 성산구 두산볼보로,경남-00032,130361528000,,,,,,
전기설비,전기공사업,55,(주)한백,윤우람,광주광역시 광산구 비아로,광주-00030,127838234000,,,,,,
전기설비,전기공사업,56,(주)디원,윤찬국 외1명,광주광역시 북구 동운로32번길,광주-00755,125286856000,,,,,,
전기설비,전기공사업,57,엘에스전선(주),구본규,경기도 안양시 동안구 엘에스로,서울-00154,115973920000,,,,,,
전기설비,전기공사업,58,한전산업개발(주),함흥규,서울특별시 중구 서소문로,서울-00429,115933620000,,,,,,
전기설비,전기공사업,59,(주)서희건설,김원철 외1명,경기도 하남시 미사강변중앙로,경기-00005,115858601000,,,,,,
전기설비,전기공사업,60,(주)태영건설,이강석,경기도 광명시,서울-00169,115839771000,,,,,,
전기설비,전기공사업,61,두산건설(주),이정환 외1명,서울특별시 강남구 언주로,서울-00185,112031366000,,,,,,
전기설비,전기공사업,62,"주식회사 엘지씨엔에스 (LG CNS Co.,Ltd.)",현신균,서울특별시 강서구 마곡중앙8로,서울-03261,108321775000,,,,,,
전기설비,전기공사업,63,지에스네오텍(주),남기정,서울특별시 구로구 경인로,서울-00205,105747631000,,,,,,
전기설비,전기공사업,64,(주)민성,권택장,울산광역시 울주군 청량면 상남2길,울산-00426,101026068000,,,,,,
전기설비,전기공사업,65,한전케이디엔(주),박상형,전라남도 나주시 빛가람로,서울-00430,100162930000,,,,,,
전기설비,전기공사업,66,영전엔지니어링(주),신창순,경기도 성남시 분당구 성남대로,서울-00686,95325450000,,,,,,
전기설비,전기공사업,67,(주)성원이앤지,배형희,광주광역시 광산구 진곡산단5번로,서울-01011,92964754000,,,,,,
전기설비,전기공사업,68,(합)태성산업사,유지연,"경상북도 경주시 충현로 13,",대구-00011,91092615000,,,,,,
전기설비,전기공사업,69,주식회사 제이비씨,조철,서울특별시 강남구 논현로,서울-00531,90337366000,,,,,,
전기설비,전기공사업,70,에이치디현대에너지솔루션(주),박종환,"경기도 성남시 분당구 분당수서로 477,",서울-05528,89354774000,,,,,,
전기설비,전기공사업,71,계룡건설산업(주),윤길호 외1명,대전광역시 서구 문정로48번길,대전-00013,88605101000,,,,,,
전기설비,전기공사업,72,코오롱글로벌(주),김영범,경기도 과천시 코오롱로,경기-00019,86971207000,,,,,,
전기설비,전기공사업,73,경우전기(주),김한정 외1명,서울특별시 광진구 광나루로44길,서울-00156,85995749000,,,,,,
전기설비,전기공사업,74,승아전기(주),김태훈,강원특별자치도 춘천시 동면 하일길,서울-00101,85534760000,,,,,,
전기설비,전기공사업,75,중흥토건(주),김해근,광주광역시 북구 무등로,전남-01363,84327817000,,,,,,
전기설비,전기공사업,76,(주)태화산업,차준오,전라남도 여수시 여수산단1로,전남-00178,83768956000,,,,,,
전기설비,전기공사업,77,"삼성이앤에이 주식회사 (SAMSUNG E&A CO., LTD.)",남궁홍,서울특별시 강동구 상일로6길,서울-00278,83375577000,,,,,,
전기설비,전기공사업,78,(주)하나전기,김선식,서울특별시 강남구 도곡로,서울-00334,82958219000,,,,,,
전기설비,전기공사업,79,주식회사 금강주택,최상순,"서울특별시 강남구 테헤란로 410(대치동, 금강타워)",서울-05245,82655258000,,,,,,
전기설비,전기공사업,80,에이치엘디앤아이한라 주식회사 (HL D&I HALLA CORPORTAION),홍석화,서울특별시 송파구 올림픽로,서울-00131,81720662000,,,,,,
전기설비,전기공사업,81,(주)금성백조주택,김영환,대전광역시 서구 계룡로583번길,대전-00033,81507332000,,,,,,
전기설비,전기공사업,82,대명에너지 주식회사,서종현,"서울특별시 강남구 테헤란로 422,",서울-05206,81062262000,,,,,,
전기설비,전기공사업,83,장한전산(주),이상철,서울특별시 동작구 동작대로23길,서울-00316,80190117000,,,,,,
전기설비,전기공사업,84,쌍용건설(주),김인수,서울특별시 송파구 올림픽로,서울-00069,79156471000,,,,,,
전기설비,전기공사업,85,우민전기(주),이학표,서울특별시 서초구 명달로22길,서울-00174,77950429000,,,,,,
전기설비,전기공사업,86,주식회사 에이치제이중공업,송경한 외1명,부산광역시 영도구 태종로,서울-00057,77653147000,,,,,,
전기설비,전기공사업,87,주식회사 광안이앤씨,정성우,"전라남도 순천시 충효로 15, 2층 219호(덕암동)",경남-00363,77651396000,,,,,,
전기설비,전기공사업,88,(주)동승전기,이건선,대전광역시 유성구 아리랑로,대전-00026,76202519000,,,,,,
전기설비,전기공사업,89,주식회사 정안디엔씨,이학용 외1명,서울특별시 송파구 송파대로,서울-00189,75323841000,,,,,,
전기설비,전기공사업,90,(주)디투엔지니어링,김평래 외1명,서울특별시 강서구 마곡중앙8로5길,서울-00470,75294616000,,,,,,
전기설비,전기공사업,91,주식회사 솔라테크,강일구 외1명,경기도 화성시 만세구 우정읍,경기-05619,74745390000,,,,,,
전기설비,전기공사업,92,(주)중선아이티씨,김학선 외1명,"서울특별시 서초구 신반포로 195,",서울-00010,74677289000,,,,,,
전기설비,전기공사업,93,대아티아이(주),장일수 외2명,경기도 부천시 수도로,경기-01903,74235812000,,,,,,
전기설비,전기공사업,94,동부건설(주),윤진오,서울특별시 강남구 테헤란로,서울-00051,74042311000,,,,,,
전기설비,전기공사업,95,주식회사 엠엑스로보틱스 (MX Robotics Inc.),조재관,"서울특별시 중구 후암로 110,",서울-06670,72002475000,,,,,,
전기설비,전기공사업,96,주식회사 한국그린전력,정재희,충청남도 계룡시 두마면 입암길,충남-01427,71903159000,,,,,,
전기설비,전기공사업,97,미래이앤시(주),이천구,경기도 용인시 처인구 포곡읍 금어로,서울-03821,71794606000,,,,,,
전기설비,전기공사업,98,(유)일석,조인환,충청남도 천안시 동남구 만남로,서울-00265,71607931000,,,,,,
전기설비,전기공사업,99,에스디엔 주식회사 (SDN Company Ltd.),정성원 외1명,경기도 성남시 수정구 대왕판교로,서울-03555,71024066000,,,,,,
전기설비,전기공사업,100,한신공영(주),전재식 외1명,경기도 용인시 처인구 백암면 덕평로,서울-00126,70561000000,,,,,,
전기설비,전기공사업,101,(주)삼원전력,김수진,광주광역시 동구 금남로,광주-00002,68707320000,,,,,,
전기설비,전기공사업,102,대한전선(주),송종민,경기도 안양시 동안구 시민대로,서울-00095,68659765000,,,,,,
전기설비,전기공사업,103,세원전설(주),최영래,서울특별시 마포구 마포대로1길,서울-00033,68460371000,,,,,,
전기설비,전기공사업,104,(주)피앤케이파워시스,구본관,경기도 화성시 효행구 봉담읍,서울-04149,68414973000,,,,,,
전기설비,전기공사업,105,"주식회사 케이티클라우드 (kt cloud Co., Ltd.)",최지웅,"서울특별시 강남구 학동로 343,",서울-06300,67846544000,,,,,,
전기설비,전기공사업,106,성진이앤씨(주),구청수,경기도 화성시 동탄구 동탄대로21길,경기-03505,67020080000,,,,,,
전기설비,전기공사업,107,(주)그랜드썬기술단,위난구,부산광역시 강서구 체육공원로6번길,서울-04576,66191041000,,,,,,
전기설비,전기공사업,108,가온전선 주식회사,정현,경기도 군포시 엘에스로45번길,경기-04865,65414913000,,,,,,
전기설비,전기공사업,109,주식회사 수산이앤에스,한봉섭 외1명,울산광역시 북구 매곡산업로,울산-00508,65215302000,,,,,,
전기설비,전기공사업,110,신신이앤씨 주식회사,하상청 외1명,서울특별시 송파구 송파대로,서울-00421,64846183000,,,,,,
전기설비,전기공사업,111,주식회사 에스엔케이,김상현,"경상북도 울진군 죽변면 매정길 143-1, 102호",서울-05628,64376490000,,,,,,
전기설비,전기공사업,112,(주)성전사,김철 외1명,울산광역시 중구 태화로,울산-00003,63646330000,,,,,,
전기설비,전기공사업,113,(주)유명이앤씨,김계진,대구광역시 달서구 성서공단남로36길,대구-00018,63471032000,,,,,,
전기설비,전기공사업,114,(주)대전사,신명계,대구광역시 동구 화랑로,대구-00012,62711237000,,,,,,
전기설비,전기공사업,115,(주)유림,윤보선 외1명,광주광역시 남구 대남대로,광주-00012,62404027000,,,,,,
전기설비,전기공사업,116,(주)유니테스트,김종현 외1명,경기도 용인시 기흥구 기곡로,경기-03806,62391615000,,,,,,
전기설비,전기공사업,117,대일전기산업(주),서용덕 외1명,서울특별시 용산구 효창원로70길,서울-00254,62228119000,,,,,,
전기설비,전기공사업,118,주식회사 해봄,방희석,"부산광역시 해운대구 센텀동로 49,",부산-01893,62196100000,,,,,,
전기설비,전기공사업,119,이바코리아시스템 주식회사,이상훈,부산광역시 수영구 남천서로19번길,부산-01876,61736442000,,,,,,
전기설비,전기공사업,120,주식회사 삼보기술단,황규현,"경기도 남양주시 순화궁로 272,",경북-01876,61072258000,,,,,,
