대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
소방설비,소방시설공사업,1.0,(주)우현이앤지,조기남,서울,제강남2001-20호,306636400,,,,,,
소방설비,소방시설공사업,2.0,(주)파라텍,박선기,충남,2022-02-00383,293904800,,,,,,
소방설비,소방시설공사업,3.0,아이파크현대산업개발 주식회사,정경구,서울,제용산85-4호,261161900,,,,,,
소방설비,소방시설공사업,4.0,(주)세보엠이씨,김우영,서울,제서초 85-15호,216002500,,,,,,
소방설비,소방시설공사업,5.0,(주)지에프에스,김현식,경기(북),제의정부 93-03호,175683000,,,,,,
소방설비,소방시설공사업,6.0,유한책임회사 엠케이지,한혜숙,경기(남),경기하남 제2004-2호,169808700,,,,,,
소방설비,소방시설공사업,7.0,삼성물산 주식회사,오세철,서울,2016-02-00340,169038500,,,,,,
소방설비,소방시설공사업,8.0,(주)대우건설,김보현,서울,2019-02-00278,168363300,,,,,,
소방설비,소방시설공사업,9.0,(주)대한이엔지,조성진,부산,제90-86호,167661600,,,,,,
소방설비,소방시설공사업,10.0,(주)세방테크,강치성,서울,2018-02-00137,163306000,,,,,,
소방설비,소방시설공사업,11.0,주식회사 무경,김원열,울산,제 2003-5호,162876300,,,,,,
소방설비,소방시설공사업,12.0,주식회사 정도,이우형,서울,제송파 1992-7호,162565000,,,,,,
소방설비,소방시설공사업,13.0,(주)케이텔,김용기,경기(북),제경기의정부 2006-7호,157676800,,,,,,
소방설비,소방시설공사업,14.0,에이치디씨랩스(주),이준형,서울,2022-02-00168,143227300,,,,,,
소방설비,소방시설공사업,15.0,세일이엔에스(주),이성규,서울,제강남97-17호,139365600,,,,,,
소방설비,소방시설공사업,16.0,(주)삼호이앤에프,이성호,경기(남),경기수원 제2009-61호,136796500,,,,,,
소방설비,소방시설공사업,17.0,중원엔지니어링(주),박정필,서울,제광진 1998-5호,133150100,,,,,,
소방설비,소방시설공사업,18.0,(주)서희건설,김원철,경기(남),2023-02-00282,132511100,,,,,,
소방설비,소방시설공사업,19.0,대하산업개발(주),이기준,광주,제2013-마-6호,132337700,,,,,,
소방설비,소방시설공사업,20.0,디엘건설 주식회사,여성찬,인천,제2008-11호,130438900,,,,,,
소방설비,소방시설공사업,21.0,(주)신동양기업,박태은,대구,제2015-8호,129847000,,,,,,
소방설비,소방시설공사업,22.0,롯데건설(주),오일근,서울,제서초85-7호,128118200,,,,,,
소방설비,소방시설공사업,23.0,(주)반도건설,이정렬,서울,2017-02-00017,115762700,,,,,,
소방설비,소방시설공사업,24.0,화성엔지니어링 주식회사,김도형,서울,2019-02-00276,109200600,,,,,,
소방설비,소방시설공사업,25.0,현대건설(주),이한우,서울,제종로1985-4호,104042900,,,,,,
소방설비,소방시설공사업,26.0,(주)케이씨이앤씨,정순찬,서울,제강남2012-10호,100424900,,,,,,
소방설비,소방시설공사업,27.0,(주)삼영기업,금동흠,서울,제서초 97-17호,99689800,,,,,,
소방설비,소방시설공사업,28.0,(주)건국이엔아이,박정렬,서울,제광진 2005-8호,98607800,,,,,,
소방설비,소방시설공사업,29.0,윤창기공(주),김경규,서울,제송파 1997-8호,84577800,,,,,,
