대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
종합건설,토목건축공사업,1,삼성물산 주식회사,오세철,서울,668.0,34721868,9150365,19990719,1528480,4052304,,4449.0
종합건설,토목건축공사업,2,현대건설(주),이한우,서울,24.0,17248502,7356765,4319209,1999242,3573286,,5552.0
종합건설,토목건축공사업,3,(주)대우건설,김보현,서울,541.0,11896850,5895652,1539125,1598471,2863602,,4686.0
종합건설,토목건축공사업,4,디엘이앤씨(주),박상신,서울,50.0,11218305,2779086,5873860,1334621,1230738,,3771.0
종합건설,토목건축공사업,5,지에스건설(주),허윤홍,서울,343.0,10945423,5488055,1945585,1159760,2352023,,3308.0
종합건설,토목건축공사업,6,현대엔지니어링(주),주우정,서울,10250.0,10141697,5517857,903552,1591972,2128316,,4967.0
종합건설,토목건축공사업,7,주식회사 포스코이앤씨,정희민,경북,907.0,9897279,4123501,2645929,1360634,1767215,,3753.0
종합건설,토목건축공사업,8,롯데건설(주),박현철,서울,13.0,7402052,3512063,1435302,1124117,1330570,,2603.0
종합건설,토목건축공사업,9,에스케이에코플랜트(주),김형근,서울,308.0,6849340,3354652,1531308,638772,1324608,,1899.0
종합건설,토목건축공사업,10,에이치디씨현대산업개발(주)  ,정경구,서울,603.0,5873754,2306232,2156802,422335,988385,,1181.0
종합건설,토목건축공사업,11,(주)한화,김승모,서울,897.0,4972024,2324416,1250494,560325,836789,,1184.0
종합건설,토목건축공사업,12,(주)호반건설,박철희,서울,1116.0,3920890,981764,2454410,160173,324543,,449.0
종합건설,토목건축공사업,13,디엘건설(주),강윤호,인천,124.0,3549474,1656751,828589,425102,639032,,1168.0
종합건설,토목건축공사업,14,두산에너빌리티(주),박상현,경남,909.0,3393078,856597,2141492,234928,160061,,565.0
종합건설,토목건축공사업,15,계룡건설산업(주),윤길호,대전,410.0,2975337,1357364,644492,488708,484773,,1328.0
종합건설,토목건축공사업,16,(주)서희건설,김원철,경기,2478.0,2877370,836621,1793893,162955,83901,,360.0
