대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
전기설비,전기공사업,17088,125전기공사,정윤렬,경상남도 창원시 마산합포구 반월시장2길,경남-00408,1192719000,,,,,,
전기설비,전기공사업,10730,153기업 주식회사,김정훈,강원특별자치도 원주시 태장공단길,강원-00943,2188279000,,,,,,
전기설비,전기공사업,12559,주식회사 153대한전기,오재일,"경기도 의정부시 의정로 94,",경기-07133,1857926000,,,,,,
전기설비,전기공사업,16609,주식회사 21세기이엔지,김지훈,서울특별시 동대문구 왕산로,서울-05583,1254818000,,,,,,
전기설비,전기공사업,18073,주식회사 365전기,이난춘,"경기도 광주시 순암로 40,",경기-07441,1050900000,,,,,,
전기설비,전기공사업,15934,DS산전,이동태,경상북도 포항시 남구 대송면 운제로217번길 25,경북-02308,1345306000,,,,,,
전기설비,전기공사업,7238,E. D. S전기,김수인,경상남도 창원시 성산구 완암로,경남-01730,3159335000,,,,,,
전기설비,전기공사업,15552,ESC전기공사,손동출,울산광역시 울주군 웅촌면 간골길,울산-00682,1395591000,,,,,,
전기설비,전기공사업,12035,K. E 테크,김광진,"부산광역시 강서구 유통단지1로 50,",부산-02291,1951666000,,,,,,
전기설비,전기공사업,14882,KS건설공사,강신호,서울특별시 중랑구 봉우재로32길,서울-05845,1490205000,,,,,,
전기설비,전기공사업,12701,KS전기제어,김효종,대전광역시 동구 하소로,대전-00883,1831751000,,,,,,
전기설비,전기공사업,17783,YM 전력,김윤미,경상남도 진주시 큰들로,경남-01752,1092822000,,,,,,
전기설비,전기공사업,1711,가가이앤지 주식회사,윤관용,인천광역시 미추홀구 방축로,인천-01230,9924065000,,,,,,
전기설비,전기공사업,9871,(주)가가전기,두진찬,충청남도 논산시 강변로,충남-00393,2373453000,,,,,,
전기설비,전기공사업,16216,가가전기,이제홍,강원특별자치도 춘천시 효석로135번길,강원-00968,1306386000,,,,,,
전기설비,전기공사업,2373,(주)가가전력,정재복,인천광역시 검단구,인천-01058,7876837000,,,,,,
전기설비,전기공사업,13563,주식회사 가가전력,이상률,전남광주통합특별시 목포시 신흥로,전남-01824,1691598000,,,,,,
전기설비,전기공사업,12760,가가전력 주식회사,박성권,충청북도 단양군 단양읍 도전7길,충북-01050,1824022000,,,,,,
전기설비,전기공사업,4005,주식회사 가경,최진철,인천광역시 제물포구 화도진로21번길,인천-01226,5252570000,,,,,,
전기설비,전기공사업,3354,(주)가경소방전력공사,김경용,전남광주통합특별시 광산구 월봉안길,광주-00362,6079587000,,,,,,
전기설비,전기공사업,6762,가경에너지 주식회사,김미숙,서울특별시 은평구 진흥로1길,인천-01320,3357249000,,,,,,
전기설비,전기공사업,8835,가경전기(주),김영일,부산광역시 동래구 명장로20번길,부산-01333,2646746000,,,,,,
전기설비,전기공사업,16998,주식회사 가교전력,변기덕,경기도 광주시 초월읍 경충대로,경기-06176,1202777000,,,,,,
전기설비,전기공사업,11284,가금산전,이창근,제주특별자치도 제주시 아란서길,제주-00327,2088079000,,,,,,
전기설비,전기공사업,2271,주식회사 가나,김병문 외1명,경기도 용인시 처인구 포곡읍,경기-01686,8151749000,,,,,,
전기설비,전기공사업,2744,(합)가나 이.엔.지,김호열 외1명,충청남도 천안시 서북구 입장면 입장로,충남-00239,7093496000,,,,,,
전기설비,전기공사업,8938,주식회사 가나산업개발,이정화,경상북도 경주시 현곡면 용담로,경북-01075,2620598000,,,,,,
전기설비,전기공사업,12592,가나안 전기공사,이영수,경기도 여주시 여양로,경기-05583,1852462000,,,,,,
전기설비,전기공사업,19737,가나안전기,엄길수,강원특별자치도 강릉시 남구길17번길 15,강원-01352,778236000,,,,,,
전기설비,전기공사업,20975,주식회사 가나에너지,김경욱,"서울특별시 은평구 증산로 335,",서울-06739,254550000,,,,,,
전기설비,전기공사업,6077,주식회사 가나엔지니어링,정근애,전북특별자치도 군산시 삼수길,전북-01454,3673115000,,,,,,
전기설비,전기공사업,16933,주식회사 가나이앤지,민찬섭,경기도 평택시 안중읍 용성1길,경기-05638,1211637000,,,,,,
전기설비,전기공사업,3060,가나이엔지 주식회사,정광래,전남광주통합특별시 나주시 그린로,전남-01885,6533871000,,,,,,
전기설비,전기공사업,14889,주식회사 가나일렉트릭,김영수,경상남도 고성군 고성읍 중앙로15번길,인천-01027,1489112000,,,,,,
전기설비,전기공사업,19121,주식회사 가나일렉트릭,이우문,대구광역시 달성군 유가읍 테크노남로,대구-01538,890134000,,,,,,
전기설비,전기공사업,17525,가나전기,김치종,서울특별시 동대문구 천호대로,서울-01440,1129861000,,,,,,
전기설비,전기공사업,16102,가나전기,심은영,경기도 포천시 군내면,경기-06498,1321839000,,,,,,
전기설비,전기공사업,18074,가나전기,양영근,제주특별자치도 제주시 한천로,제주-00415,1050845000,,,,,,
전기설비,전기공사업,16816,가나전기 주식회사,이기옥,충청남도 아산시 번영로115번길,충남-01090,1224583000,,,,,,
전기설비,전기공사업,8460,가나전기(주),이황복,부산광역시 동래구 명장로20번길,부산-01180,2751272000,,,,,,
전기설비,전기공사업,10431,가나전기공사,임채만 외1명,경기도 용인시 처인구 경안천로,경기-03673,2249841000,,,,,,
전기설비,전기공사업,12022,주식회사 가나전기공사,김연규 외1명,강원특별자치도 원주시 월운정안길 7,경북-01872,1954624000,,,,,,
전기설비,전기공사업,12899,가나전기소방 주식회사,전현주,경상북도 안동시 매화길,경북-01237,1800423000,,,,,,
전기설비,전기공사업,6784,가나전력,김문중,경기도 광주시 문화로85번길,경기-01805,3346439000,,,,,,
전기설비,전기공사업,17970,주식회사 가나전력,권용훈,강원특별자치도 홍천군 영귀미면 신봉논골길 61,경기-06256,1064944000,,,,,,
전기설비,전기공사업,8998,(주)가나전력,유구일,"충청북도 괴산군 사리면 방축길 60,",충남-00957,2605859000,,,,,,
전기설비,전기공사업,9689,(주)가나전력,이복주,전남광주통합특별시 남구 서문대로650번길,광주-00722,2417172000,,,,,,
전기설비,전기공사업,7018,주식회사 가나전력,김순자,충청북도 제천시 탑안로,강원-00703,3253972000,,,,,,
전기설비,전기공사업,13713,가나전력 주식회사,심규희,"경기도 화성시 만세구 향남읍 배터길 58,",경기-07053,1664002000,,,,,,
