대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
소방설비,소방시설공사업(전문),1,삼성물산 주식회사,오세철,서울,2016-02-00340,263008900,,,,,,
소방설비,소방시설공사업(전문),2,(주)우현이앤지,조기남,서울,제강남2001-20호,242507300,,,,,,
소방설비,소방시설공사업(전문),3,(주)세보엠이씨,김우영,서울,제서초 85-15호,211000300,,,,,,
소방설비,소방시설공사업(전문),4,(주)파라텍,박선기,충남,2022-02-00383,206753300,,,,,,
소방설비,소방시설공사업(전문),5,아이파크현대산업개발 주식회사,정경구,서울,제용산85-4호,203730600,,,,,,
소방설비,소방시설공사업(전문),6,(주)지에프에스,김현식,경기(북),제의정부 93-03호,202478800,,,,,,
소방설비,소방시설공사업(전문),7,주식회사 정도,이우형,서울,제송파 1992-7호,196835800,,,,,,
소방설비,소방시설공사업(전문),8,유한책임회사 엠케이지,한혜숙,경기(남),경기하남 제2004-2호,186783500,,,,,,
소방설비,소방시설공사업(전문),9,주식회사 무경,김명섭,울산,제 2003-5호,184116300,,,,,,
소방설비,소방시설공사업(전문),10,화성엔지니어링 주식회사,김도형,서울,2019-02-00276,168039300,,,,,,
소방설비,소방시설공사업(전문),11,(주)케이텔,김용기,경기(북),제경기의정부 2006-7호,167017100,,,,,,
소방설비,소방시설공사업(전문),12,세일이엔에스(주),이성규,서울,제강남97-17호,163850700,,,,,,
소방설비,소방시설공사업(전문),13,(주)대한이엔지,박미숙,부산,제90-86호,156714100,,,,,,
소방설비,소방시설공사업(전문),14,(주)세방테크,강치성,서울,2018-02-00137,154083300,,,,,,
소방설비,소방시설공사업(전문),15,디엘건설 주식회사,여성찬,인천,제2008-11호,150655300,,,,,,
소방설비,소방시설공사업(전문),16,(주)대우건설,김보현,서울,2019-02-00278,146465300,,,,,,
소방설비,소방시설공사업(전문),17,롯데건설(주),오일근,서울,제서초85-7호,144765100,,,,,,
소방설비,소방시설공사업(전문),18,에이치디씨랩스(주),이준형,서울,2022-02-00168,141207200,,,,,,
소방설비,소방시설공사업(전문),19,중원엔지니어링(주),박정필,서울,제광진 1998-5호,135560500,,,,,,
소방설비,소방시설공사업(전문),20,(주)신동양기업,박태은,대구,제2015-8호,134609700,,,,,,
소방설비,소방시설공사업(전문),21,(주)서희건설,김원철,경기(남),2023-02-00282,133655800,,,,,,
소방설비,소방시설공사업(전문),22,대하산업개발(주),이기준,전남광주(광주),제2013-마-6호,128953100,,,,,,
소방설비,소방시설공사업(전문),23,(주)삼호이앤에프,이성호,경기(남),경기수원 제2009-61호,121181200,,,,,,
소방설비,소방시설공사업(전문),24,(주)건국이엔아이,박정렬,서울,제광진 2005-8호,120380500,,,,,,
소방설비,소방시설공사업(전문),25,제일건설(주),허만공,전남광주(광주),2026-02-00012,104706400,,,,,,
소방설비,소방시설공사업(전문),26,윤창기공(주),김경규,서울,제송파 1997-8호,103303600,,,,,,
소방설비,소방시설공사업(전문),27,(주)호반건설,박철희,서울,2022-02-00244,99834900,,,,,,
소방설비,소방시설공사업(전문),28,에스케이에코플랜트(주),장동현,서울,제종로1985-17호,97502900,,,,,,
소방설비,소방시설공사업(전문),29,대진공무(주),박종옥,서울,제광진1988-3호,96371500,,,,,,
소방설비,소방시설공사업(전문),30,(주)남경,이원득,부산,제99-12호,91876500,,,,,,
소방설비,소방시설공사업(전문),31,(주)케이씨이앤씨,정순찬,서울,제강남2012-10호,91224300,,,,,,
소방설비,소방시설공사업(전문),32,(주)우진아이엔에스,홍경모,서울,제서초 85-1호,88521500,,,,,,
소방설비,소방시설공사업(전문),33,대아이앤씨(주),배형기,서울,2017-02-00396,88211400,,,,,,
소방설비,소방시설공사업(전문),34,(주)삼영기업,금동흠,서울,제서초 97-17호,87921700,,,,,,
소방설비,소방시설공사업(전문),35,(주)창원기전,김귀범,경기(남),경기분당 제2011-6호,84364100,,,,,,
소방설비,소방시설공사업(전문),36,(주)캐스트윈,김낙희,서울,제강남 94-1호,81412100,,,,,,
소방설비,소방시설공사업(전문),37,(주)진화이앤씨,박종원,서울,제서초 85-3호,81002500,,,,,,
소방설비,소방시설공사업(전문),38,웰시스템(주),김종길,경기(북),경기남양주제2008-6호,75231100,,,,,,
소방설비,소방시설공사업(전문),39,현대건설(주),이한우,서울,제종로1985-4호,73102300,,,,,,
소방설비,소방시설공사업(전문),40,(주)백산이엔씨,김주환,대구,제2001-3호,72936000,,,,,,
소방설비,소방시설공사업(전문),41,(주)반도건설,이정렬,서울,2017-02-00017,70616500,,,,,,
소방설비,소방시설공사업(전문),42,(주)비전엔지니어링,이현수,경기(남),경기수원제2013-07호,70079800,,,,,,
소방설비,소방시설공사업(전문),43,다스코 주식회사,한상원,전남광주(전남),2026-02-00180,69323600,,,,,,
소방설비,소방시설공사업(전문),44,진성산업개발(주),손경석,전북,2016-02-00513,68414300,,,,,,
소방설비,소방시설공사업(전문),45,(주)성보엔지니어링,김형철,서울,제서초 2004-34호,66694300,,,,,,
소방설비,소방시설공사업(전문),46,프로테크(주),구현민,경기(북),경기포천 제2005-06호,64648300,,,,,,
소방설비,소방시설공사업(전문),47,덕신건업(주),조인제,경남,진주1993-2호,62618100,,,,,,
소방설비,소방시설공사업(전문),48,코오롱글로벌(주),김영범,경기(남),경기과천 제99-3호,61870400,,,,,,
소방설비,소방시설공사업(전문),49,(주)한은이엔씨,이진수,서울,제강남85-32호,61792800,,,,,,
소방설비,소방시설공사업(전문),50,(주)홍익엔지니어링,정종익,경기(남),경기성남 제2004-3호,61099800,,,,,,
소방설비,소방시설공사업(전문),51,백제소방 주식회사,신기호,대전,제2015-7호,59119400,,,,,,
소방설비,소방시설공사업(전문),52,삼언전공(주),공석복,서울,제광진1998-3호,59021400,,,,,,
소방설비,소방시설공사업(전문),53,두산건설(주),이정환,서울,강남92-1호,57501000,,,,,,
소방설비,소방시설공사업(전문),54,지에스건설(주),허윤홍,서울,제종로1985-23호,57467900,,,,,,
소방설비,소방시설공사업(전문),55,주식회사 에스엠테크뉴,"조송연,김은식",경기(북),2021-02-00188,57110900,,,,,,
소방설비,소방시설공사업(전문),56,삼화건업(주),변화곤,대구,제96-30호,56509900,,,,,,
소방설비,소방시설공사업(전문),57,구보공영(주),이상영,서울,제서초85-17호,56323900,,,,,,
소방설비,소방시설공사업(전문),58,(주)삼아에코빌,박민준,부산,제1990-91호,55707600,,,,,,
소방설비,소방시설공사업(전문),59,(주)일우엠이씨,피일용,경기(북),2023-02-00375,55069300,,,,,,
소방설비,소방시설공사업(전문),60,(주)동방방재,민경인,경기(남),경기용인 제1997-13호,54766400,,,,,,
소방설비,소방시설공사업(전문),61,지에스네오텍(주),남기정,서울,제구로94-2호,54691200,,,,,,
소방설비,소방시설공사업(전문),62,(주)세이프시스템,이창혁,경기(남),2016-02-00571,54118000,,,,,,
소방설비,소방시설공사업(전문),63,(주)서한,조종수,대구,제17호,53804700,,,,,,
소방설비,소방시설공사업(전문),64,동부건설(주),윤진오,서울,2020-02-00561,52927000,,,,,,
소방설비,소방시설공사업(전문),65,주식회사 한화,김우석,서울,2018-02-00321,52645800,,,,,,
소방설비,소방시설공사업(전문),66,주식회사 포스코이앤씨,송치영,경북,2023-02-00007,51833100,,,,,,
소방설비,소방시설공사업(전문),67,(주)김앤드이,이준희,서울,강남85-6호,50112100,,,,,,
소방설비,소방시설공사업(전문),68,(주)영동이앤씨,박정일,전남광주(전남),제1985-13호,48719800,,,,,,
소방설비,소방시설공사업(전문),69,(주)진성방재,서명기,경기(북),2022-02-00095,48612100,,,,,,
소방설비,소방시설공사업(전문),70,을지공영(주),서정호,서울,제구로97-15호,48364000,,,,,,
소방설비,소방시설공사업(전문),71,대광이엔지 주식회사,강신창,전남광주(광주),2017-02-00375,47542200,,,,,,
소방설비,소방시설공사업(전문),72,알티엘산업(주),이근태,서울,제송파1992-2호,47118600,,,,,,
소방설비,소방시설공사업(전문),73,환경이엔지(주),유창수,서울,2020-02-00215,46968400,,,,,,
소방설비,소방시설공사업(전문),74,대신산업설비(주),김재업,부산,제88-5호,46695600,,,,,,
소방설비,소방시설공사업(전문),75,(주)신보,유정섭,서울,제마포97-1호,46128900,,,,,,
소방설비,소방시설공사업(전문),76,주식회사 비에스한양,최인호,인천,2025-02-00016,45634300,,,,,,
소방설비,소방시설공사업(전문),77,(주)우리이엔씨,한영일,경기(남),경기의왕 제2014-04호,44857200,,,,,,
소방설비,소방시설공사업(전문),78,존슨콘트롤즈인터내셔널코리아 주식회사,김건수,서울,2017-02-00542,42857000,,,,,,
소방설비,소방시설공사업(전문),79,(주)국도설비,정하섭,대전,제92-14호,42548200,,,,,,
소방설비,소방시설공사업(전문),80,대영이앤디(주),박준철,서울,제송파1985-8호,42340300,,,,,,
소방설비,소방시설공사업(전문),81,(주)오에스엘이엔지,한수진,서울,제송파 2007-13호,41900700,,,,,,
소방설비,소방시설공사업(전문),82,(주)엡스엔지니어링,도윤선,인천,인천공단 제2014-08호,40879400,,,,,,
