대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
정보통신,정보통신공사업,1,에스케이티엔에스(주),,,110116,256060400,,,,,,
정보통신,정보통신공사업,2,지에스네오텍(주),,,110311,210687600,,,,,,
정보통신,정보통신공사업,3,한전케이디엔(주),,,110234,169997700,,,,,,
정보통신,정보통신공사업,4,엘케이테크넷(주),,,110983,132742500,,,,,,
정보통신,정보통신공사업,5,명신정보통신(주),,,111557,121230700,,,,,,
정보통신,정보통신공사업,6,주식회사 유플러스홈서비스(Uplus Home Service Corp.),,,203178,119998500,,,,,,
정보통신,정보통신공사업,7,삼성물산 주식회사,,,201348,113951300,,,,,,
정보통신,정보통신공사업,8,(주)글로벌텔레콤,,,200162,109130100,,,,,,
정보통신,정보통신공사업,9,한국정보기술(주),,,310610,105493900,,,,,,
정보통신,정보통신공사업,10,대보정보통신(주),,,110019,95783500,,,,,,
정보통신,정보통신공사업,11,진우에이티에스 주식회사,,,110570,94011700,,,,,,
정보통신,정보통신공사업,12,부민통신(주),,,170023,89738200,,,,,,
정보통신,정보통신공사업,13,현대엔지니어링(주),,,111933,88667400,,,,,,
정보통신,정보통신공사업,14,(주)엘지씨엔에스,,,110325,87043700,,,,,,
정보통신,정보통신공사업,15,대아티아이(주),,,120287,83818200,,,,,,
정보통신,정보통신공사업,16,주식회사 와이어블 (Wiable Corp.),,,110506,82893500,,,,,,
정보통신,정보통신공사업,17,(주)뉴젠스,,,200058,81433600,,,,,,
정보통신,정보통신공사업,18,오티씨 주식회사,,,110418,80357700,,,,,,
정보통신,정보통신공사업,19,(주)에스원,,,110510,79525000,,,,,,
정보통신,정보통신공사업,20,(주)나우스넷,,,110105,74517300,,,,,,
정보통신,정보통신공사업,21,에프투텔레콤(주),,,111027,72023200,,,,,,
정보통신,정보통신공사업,22,(주)윈미디텍,,,112042,70651400,,,,,,
정보통신,정보통신공사업,23,(주)전통,,,140002,70144800,,,,,,
