대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
기계설비,기계설비·가스공사업,1,(주)가가건설,이경화,강원,강원2000-12-08,1687,485,834,333,34,951,2
기계설비,기계설비·가스공사업,2,(주)가가설비,이성주,서울,용산2021-10-01,2421,303,1820,297,0,434,2
기계설비,기계설비·가스공사업,3,(주)가가이엔지,"김호협, 장광회",부산,부산남구2011-10-01,2076,255,1445,357,18,703,2
기계설비,기계설비·가스공사업,4,(주)가경코스모,조문희,서울,송파-12-10-05,5389,287,1723,3357,20,408,16
기계설비,기계설비·가스공사업,5,(주)가나,이명화,강원,강릉21-10-01호,1000,346,272,380,0,614,3
기계설비,기계설비·가스공사업,6,(주)가나건설산업,조덕연,경기,강남-01-12-16,5726,2398,2593,493,239,4409,3
기계설비,기계설비·가스공사업,7,(주)가나공영,곽영단,울산,울산울주2017-10-32,9412,4332,2727,2166,185,4617,12
기계설비,기계설비·가스공사업,8,가나기업(주),이정인,전북,광주북-2006-27-01-2,2629,349,1361,893,24,440,6
기계설비,기계설비·가스공사업,9,(주)가나엔지니어링,이계난,경기,평택10-10-2,2948,401,1230,1287,28,780,8
기계설비,기계설비·가스공사업,10,가나용역(주),한대승,울산,울산중구2022-파-2,1057,282,477,297,0,445,2
기계설비,기계설비·가스공사업,11,(유)가나이엔씨,기경근,전북,전북전주2020-10-1,1427,512,595,320,0,710,2
기계설비,기계설비·가스공사업,12,(주)가나이엔지,방화숙,충남,충남천안-2019-10-14,1153,132,717,297,5,295,2
기계설비,기계설비·가스공사업,13,(주)가나이엠티,"이기재, 손미자",경기,성남-2002-12-2,3276,1067,1059,1041,106,1513,7
기계설비,기계설비·가스공사업,14,(주)가나테크,김수동,경남,창원의창2021-10-04,1114,174,641,297,0,358,2
기계설비,기계설비·가스공사업,15,(주)가덕,조찬웅,전북,전북익산2000-1-81,5264,1072,3328,755,107,1682,5
기계설비,기계설비·가스공사업,16,(주)가덕건설산업,김창현,대전,대전대덕-2000-12-5,3235,1188,1399,528,118,1245,3
기계설비,기계설비·가스공사업,17,(주)가람,강수민,인천,인천서구2020-10-06,1328,168,713,446,0,26,3
기계설비,기계설비·가스공사업,18,(주)가람,김정호,울산,울산남구2012-10-05,3346,1833,741,640,131,2148,4
기계설비,기계설비·가스공사업,19,(주)가람건설,윤현권,광주,광주광산2010-10-03,1403,783,116,448,55,584,3
기계설비,기계설비·가스공사업,20,(주)가람건영,서성원,인천,인천부평구2003-12-01,1576,483,584,424,82,900,2
기계설비,기계설비·가스공사업,21,가람누리,박도원,경기,포천20-10-01,1255,361,589,303,0,673,2
기계설비,기계설비·가스공사업,22,(유)가람산업개발,이화승,전북,전북전주2004-12-2,2348,792,1139,336,79,1282,2
기계설비,기계설비·가스공사업,23,(주)가람씨앤에이,임소영,서울,은평-2019-10-1,1572,760,333,446,32,338,3
기계설비,기계설비·가스공사업,24,가람엔지니어링(유),최재호,대전,대전-94-12-13,15865,4813,9159,1410,482,8639,9
기계설비,기계설비·가스공사업,25,(주)가람이엔씨,유인상,인천,인천남동09-10-08,1746,782,439,468,55,665,3
기계설비,기계설비·가스공사업,26,(주)가람이엔지,서해석,경기,하남2019-10-01,3214,1500,1350,297,64,2600,2
기계설비,기계설비·가스공사업,27,(주)가람이엔지,이수진,충남,충남아산-2018-10-07,8271,6371,1329,297,273,10271,2
기계설비,기계설비·가스공사업,28,(주)가람테크,안형우,부산,부산강서2019-10-01,490,147,160,175,6,465,2
기계설비,기계설비·가스공사업,29,가람환경(주),서민아,강원,원주2020-10-02호,716,44,365,306,0,20,2
기계설비,기계설비·가스공사업,30,(유)가림엔지니어링,문상호,전북,전북전주2006-27-1-1,5563,1422,3147,893,101,1813,6
기계설비,기계설비·가스공사업,31,(주)가림이엔지,이소근,인천,인천서구2009-10-06,876,236,277,345,16,630,2
기계설비,기계설비·가스공사업,32,(주)가보건설,김응진,대전,대전동구-2023-21-07,3457,445,2259,752,0,818,5
기계설비,기계설비·가스공사업,33,(주)가스로드,길영만,대전,인천동구2005-27-01-01,4585,1486,2248,744,106,1610,5
기계설비,기계설비·가스공사업,34,(주)가스엔,강현호,경북,경북상주2020-23-01,249,106,58,83,0,115,3
기계설비,기계설비·가스공사업,35,(주)가스올테크,배성문,경북,경북포항2020-23-01,2173,807,765,600,0,1662,4
기계설비,기계설비·가스공사업,36,가스웨이텍(주),김형택,경기,부천17-23-4,1265,272,386,595,11,192,4
기계설비,기계설비·가스공사업,37,(주)가스쟁이,이후락,인천,인천남동16-23-01,3226,690,1910,595,29,473,4
기계설비,기계설비·가스공사업,38,가스켐테크놀로지(주),조창현,충남,충남천안10-23-01,420,258,14,129,18,32,3
기계설비,기계설비·가스공사업,39,가스코리아(주),이영헌,전남,광양2013-23-01,1802,574,523,663,41,1410,4
기계설비,기계설비·가스공사업,40,가스텍(주),도기영,경기,부천-2000-27-(1종)-12,3520,871,1817,744,87,1353,5
기계설비,기계설비·가스공사업,41,(주)가스텍이엔지,한만규,경기,수원2016-23-01,1825,771,574,446,33,814,3
기계설비,기계설비·가스공사업,42,가스파워(주),김병석,서울,금천-19-10-06,2208,510,1059,617,21,723,4
기계설비,기계설비·가스공사업,43,(주)가야기술,모희종,경남,부산사상 08-10-02,2352,919,746,620,65,1287,4
기계설비,기계설비·가스공사업,44,(주)가야산업개발,김혜주,부산,부산진 2020-10-01,1509,212,829,458,9,205,3
기계설비,기계설비·가스공사업,45,(주)가야산업개발,손기철,대구,수성구 2009-12-03,3167,664,1860,595,47,1013,4
기계설비,기계설비·가스공사업,46,(주)가야선광,김윤정,울산,창원의창 2012-10-03,1478,163,982,320,11,425,2
기계설비,기계설비·가스공사업,47,(주)가야외장,김말순,경북,이천21-10-04,453,50,254,148,0,0,1
기계설비,기계설비·가스공사업,48,(유)가야이엔지,박언수,전북,전북전주2014-10-7,2761,1732,524,380,124,2815,2
기계설비,기계설비·가스공사업,49,(주)가야환경,김철호,경기,안성2009-10-1,14988,9465,2297,2549,676,16773,11
기계설비,기계설비·가스공사업,50,(주)가온,최이안,충남,충남태안2025-13-01,420,0,120,300,0,0,2
기계설비,기계설비·가스공사업,51,가온기업(주),이재학,부산,부산강서2015-10-05,3783,1078,2361,297,46,794,2
기계설비,기계설비·가스공사업,52,(주)가온비엔텍,문태영,대전,대전대덕-17-10-04,5154,1500,2673,915,64,2492,6
기계설비,기계설비·가스공사업,53,(주)가온에너지,김찬규,서울,종로-24-파-01,850,322,227,300,0,461,3
기계설비,기계설비·가스공사업,54,(주)가온이앤아이,강영준,경기,인천부평구2022-13-05,3157,1856,854,446,0,3129,3
기계설비,기계설비·가스공사업,55,(주)가온이앤아이,윤동식,경기,안양-21-10-02,7691,2819,4161,710,0,5411,3
기계설비,기계설비·가스공사업,56,(주)가온이엔지,김명님,광주,광주북-24-파-05,677,27,307,342,0,39,2
기계설비,기계설비·가스공사업,57,(주)가온이엔지,김경수,경기,충남천안-01-27-6,2102,636,658,744,63,1039,5
기계설비,기계설비·가스공사업,58,(주)가온이엔지,박인희,전남,전남화순2019-10-02,2157,1113,698,297,47,1371,2
기계설비,기계설비·가스공사업,59,(주)가온테크,박홍용,전북,전북완주-2024-파-01호,1119,524,297,297,0,749,2
기계설비,기계설비·가스공사업,60,(주)가온테크,최진욱,전남,전남장성2018-10-02,848,126,419,297,5,138,2
기계설비,기계설비·가스공사업,61,(주)가온텍,김병희,인천,인천남동20-10-06,1796,125,465,1205,0,201,7
기계설비,기계설비·가스공사업,62,(주)가온티엔씨,황성원,울산,울산울주2014-10-13,1244,444,470,297,31,754,2
기계설비,기계설비·가스공사업,63,가온플랜트(주),박도진,경북,경북경주2017-10-01,17998,4821,5616,7348,212,8518,50
기계설비,기계설비·가스공사업,64,가와종합건설(주),장동식,서울,종로-20-27-1-7,9969,4303,4342,893,430,5926,6
기계설비,기계설비·가스공사업,65,가원엔지니어링(주),홍광택,제주,제주 제주2017-23-01,1323,218,499,595,9,262,4
기계설비,기계설비·가스공사업,66,(주)가원이앤씨,진석원,부산,부산동래2017-10-1,714,67,315,328,2,87,2
